Image,Date,Place,PM 2.5,PM 10,Blue,Gradient,Transmisiion,im contrast,roi contrast,entropy,Humidity,hsv,Time,log,Weather
1.jpg,27.4.18,Maya Enclave,90.79,38.38,0.910399012,0,0.009998344,0.000983264,5.550134534,7.236850036,28,43.70297836,10:44 AM,-4.6053358,haze
2.jpg,27.4.18,Maya Enclave,105.52,334.85,0.99739384,0,0.009775465,0.001036287,4.677775146,7.113458348,38,127.3030825,06:15 PM,-4.627879604,Sunny
6.jpg,28.4.18,Maya Enclave,96.69,332.35,0.95389038,0,0.009998285,0.000996683,9.225160222,7.1887537,29,47.72658096,05:53 PM,-4.605341701,haze
7.jpg,29.4.18,Maya Enclave,94.18,282.88,0.940766132,0,0.009871054,0.000934736,7.970475705,7.230174453,37,89.66697371,10:35 AM,-4.618148643,sunny
9.jpg,29.4.18,Maya Enclave,85.81,225.7,0.937066224,0,0.009107244,0.001105215,10.992256,7.491649971,26,29.44234851,06:36 PM,-4.698685138,partly cloudy
14.jpg,30.4.18,Maya Enclave,71.38,177.75,0.860390649,1.702110617,0.009963574,0.001102668,1.587793461,7.46313134,46,105.0422257,08:55 AM,-4.608819436,sunny
18.jpg,30.4.18,Maya Enclave,48.26,160.07,0.891743828,2.042532741,0.009953042,0.001011895,3.640301695,7.511416569,23,81.64893802,01:41 PM,-4.609877046,partly cloudy
22.jpg,30.4.18,Maya Enclave,64.8,179.84,0.876550923,0,0.008777039,0.001038423,11.3166432,7.557958783,25,44.96581094,06:25 PM,-4.735616172,partly cloudy
39.jpg,1.5.18,Maya Enclave,67,191.81,0.912006548,0,0.009612704,0.001136627,4.588672401,7.35953033,35,97.60497684,02:07 PM,-4.644669722,sunny
47.jpg,1.5.18,Maya Enclave,55.72,183.84,0.998312627,0,0.00973138,0.001245723,7.880148393,6.120540685,35,14.30374998,06:05 PM,-4.632399563,sunny
61.jpg,2.5.18,Maya Enclave,48.94,110.99,0.922116549,1.361688494,0.009952066,0.001112514,4.739259035,6.971181337,55,41.86714192,08:02 AM,-4.609975111,sunny
76.jpg,2.5.18,Maya Enclave,56.7,194.32,0.837759763,1.702110617,0.009999615,0.001078546,9.437926721,7.167427547,35,28.12663703,04:15 PM,-4.605208687,widespread dust
85.jpg,3.5.18,maya Enclave,66.63,222.01,0.907238544,0,0.009865792,0.001158098,7.884663437,7.202196224,32,92.1775001,03:36 PM,-4.618681859,haze
86.jpg,3.5.18,maya Enclave,68.71,206.45,1,0,0.009905561,0.001185431,8.977471507,5.724073191,34,0,06:36 PM,-4.614658962,haze
101.jpg,4.5.18,Maya Enclave,39.52,74.1,0.923245059,0,0.009896544,0.001151918,11.37293809,7.095030696,49,74.43647456,10:00 AM,-4.615569674,haze
124.jpg,5.5.18,Maya Enclave,66.51,140.02,0.998866883,0,0.009647282,0.001229257,12.35179526,6.146497669,24,0.106452,06:24 PM,-4.641079061,haze
139.jpg,6.5.18,Maya Enclave,162.97,285.34,0.973306089,0,0.009838546,0.001197582,10.21398572,7.05068629,25,92.75022361,11:14 AM,-4.621447343,widespread dust
141.jpg,6.5.18,Maya Enclave,53.72,159.12,0.95429653,0,0.009835242,0.001210952,9.228794282,7.156426761,23,97.99914561,01:55 PM,-4.621783221,haze
